ParkName,State,partySize,BookingType,RateType,Equipment
Dollar Lake,NS ,2,CampsitePermit,Senior,LT 20ft
Thomas Raddall,QC ,1,CampsitePermit,Senior,LT 30ft
Amherst Shore,NS ,2,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,LT 20ft
Salsman,NS ,2,CampsitePermit,Full,LT 40ft
Five Islands,NS ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT 30ft
Laurie,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Laurie,NS ,1,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Amherst Shore,SK ,1,CampsitePermit,Full,ST
Salsman,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,1,CampsitePermit,Full,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Amherst Shore,QC ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,3,CampsitePermit,Full,ST
Battery,ON ,2,CampsitePermit,Full,LT 30ft
Graves Island,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,ON ,1,CampsitePermit,Senior,LT 20ft
Mira River,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT 20ft
Graves Island,ON ,1,CampsitePermit,Senior,ST
Rissers Beach,NS ,5,CampsitePermit,Full,LT 30ft
Dollar Lake,NS ,6,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Graves Island,ON ,3,CampsitePermit,Full,LT 30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 20ft
Five Islands,PE ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
Five Islands,ON ,4,CampsitePermit,Full,ST
Smileys,PE ,4,CampsitePermit,Full,LT 30ft
Porters Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,3,CampsitePermit,Full,Tents
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,6,CampsitePermit,Full,Tents
Graves Island,NB ,1,CampsitePermit,Full,ST
Rissers Beach,BC ,2,CampsitePermit,Senior,LT 20ft
Graves Island,NS ,5,CampsitePermit,Full,LT 30ft
Caribou Munroes,NB ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT 20ft
Mira River,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT 30ft
Battery,AB ,2,CampsitePermit,Full,LT 30ft
Amherst Shore,BC ,1,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,ST
Battery,QC ,2,CampsitePermit,Full,LT 20ft
Laurie,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,ST
The Islands,BC ,2,CampsitePermit,Senior,LT 20ft
Five Islands,NB ,2,CampsitePermit,Full,ST
Five Islands,NB ,6,CampsitePermit,Full,Tents
Salsman,NS ,3,CampsitePermit,Full,ST
Battery,QC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT 20ft
Battery,ON ,3,CampsitePermit,Full,LT 30ft
Five Islands,NS ,2,CampsitePermit,Senior,LT 20ft
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
The Islands,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,1,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Senior,LT 20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 20ft
The Islands,NS ,4,CampsitePermit,Full,LT 20ft
Graves Island,NS ,3,CampsitePermit,Full,ST
Valleyview,NS ,3,CampsitePermit,Full,ST
